Name,Team,WAR,IDfg,Type
Anthony Santander,BAL,3.2,14551,Batting
Salvador Perez,KCR,3.2,7304,Batting
JJ Bleday,OAK,3.2,26368,Batting
Brendan Donovan,STL,3.2,24679,Batting
Joey Ortiz,MIL,3.2,25493,Batting
Nolan Arenado,STL,3.2,9777,Batting
Daulton Varsho,TOR,3.2,19918,Batting
Christian Walker,ARI,3.1,13419,Batting
Tyler Stephenson,CIN,3.1,17988,Batting
Wyatt Langford,TEX,3.1,33333,Batting
Yainer Diaz,HOU,3.0,23003,Batting
Luis Garcia Jr.,WSN,3.0,20391,Batting
Nathaniel Lowe,TEX,2.9,19566,Batting
Jonathan India,CIN,2.9,21523,Batting
Carlos Santana,MIN,2.9,2396,Batting
Josh Smith,TEX,2.9,26396,Batting
Willi Castro,MIN,2.9,17338,Batting
Taylor Ward,LAA,2.8,17548,Batting
Brandon Nimmo,NYM,2.8,12927,Batting
Adley Rutschman,BAL,2.7,26288,Batting
Jeremy Pena,HOU,2.7,21636,Batting
Jacob Young,WSN,2.7,29931,Batting
Andres Gimenez,CLE,2.7,19950,Batting
Matt Olson,ATL,2.6,14344,Batting
Will Smith,LAD,2.6,19197,Batting
Brice Turang,MIL,2.6,22186,Batting
Heliot Ramos,SFG,2.3,22515,Batting
Josh Naylor,CLE,2.3,18839,Batting
Matt Vierling,DET,2.3,21558,Batting
Bryan Reynolds,PIT,2.2,19326,Batting
Michael Busch,CHC,2.2,26319,Batting
Pete Alonso,NYM,2.1,19251,Batting
Lourdes Gurriel Jr.,ARI,2.1,19238,Batting
Cody Bellinger,CHC,2.1,15998,Batting
Jake Cronenworth,SDP,2.1,18036,Batting
Logan O'Hoppe,LAA,2.1,24729,Batting
Shea Langeliers,OAK,2.0,25816,Batting
Randy Arozarena,- - -,2.0,19290,Batting
Yandy Diaz,TBR,1.9,16578,Batting
Ryan McMahon,COL,1.9,15112,Batting
Jake Meyers,HOU,1.9,20308,Batting
CJ Abrams,WSN,1.8,25768,Batting
Gleyber Torres,NYY,1.8,16997,Batting
Bryson Stott,PHI,1.8,26294,Batting
Colt Keith,DET,1.7,27899,Batting
Jesus Sanchez,MIA,1.6,19913,Batting
Spencer Steer,CIN,1.6,26323,Batting
Vinnie Pasquantino,KCR,1.5,27676,Batting
Sal Frelick,MIL,1.5,29622,Batting
Jesse Winker,- - -,1.4,13590,Batting
Jake Burger,MIA,1.4,22275,Batting
Ryan Mountcastle,BAL,1.4,18373,Batting
Lane Thomas,- - -,1.4,16939,Batting
Zack Gelof,OAK,1.4,29766,Batting
Maikel Garcia,KCR,1.3,22715,Batting
Justin Turner,- - -,1.2,5235,Batting
Paul Goldschmidt,STL,1.2,9218,Batting
Leody Taveras,TEX,1.2,18900,Batting
Jorge Soler,- - -,1.1,14221,Batting
Luis Arraez,- - -,1.1,18568,Batting
George Springer,TOR,1.1,12856,Batting
Ceddanne Rafaela,BOS,1.0,24262,Batting
Brendan Rodgers,COL,0.8,17907,Batting
Orlando Arcia,ATL,0.8,13185,Batting
Alec Burleson,STL,0.7,27615,Batting
Nolan Schanuel,LAA,0.7,33189,Batting
Alex Verdugo,NYY,0.6,17027,Batting
Andrew McCutchen,PIT,0.5,9847,Batting
Nick Castellanos,PHI,0.2,11737,Batting
Rhys Hoskins,MIL,0.2,16472,Batting
Josh Bell,- - -,-0.1,13145,Batting
Andrew Vaughn,CHW,-0.1,26197,Batting
Andrew Benintendi,CHW,-0.1,17901,Batting
Adolis Garcia,TEX,-0.1,19287,Batting
Ty France,- - -,-0.8,17982,Batting
Christopher Morel,- - -,-1.0,21897,Batting
Bryan De La Cruz,- - -,-1.1,19600,Batting
Chris Sale,ATL,6.4,10603,Pitching
Tarik Skubal,DET,6.0,22267,Pitching
Zack Wheeler,PHI,5.4,10310,Pitching
Cole Ragans,KCR,4.9,21846,Pitching
Seth Lugo,KCR,4.7,12447,Pitching
Dylan Cease,SDP,4.7,18525,Pitching
Cristopher Sanchez,PHI,4.7,20778,Pitching
Logan Webb,SFG,4.4,17995,Pitching
George Kirby,SEA,4.1,25436,Pitching
Logan Gilbert,SEA,4.0,22250,Pitching
Michael King,SDP,3.9,19853,Pitching
Tanner Houck,BOS,3.9,19879,Pitching
Corbin Burnes,BAL,3.8,19361,Pitching
Sonny Gray,STL,3.8,12768,Pitching
Framber Valdez,HOU,3.7,17295,Pitching
Yusei Kikuchi,- - -,3.6,20633,Pitching
Max Fried,ATL,3.4,13743,Pitching
Erick Fedde,- - -,3.4,17425,Pitching
Jack Flaherty,- - -,3.3,17479,Pitching
Michael Wacha,KCR,3.3,14078,Pitching
Tanner Bibee,CLE,3.3,30134,Pitching
Pablo Lopez,MIN,3.2,17085,Pitching
Hunter Brown,HOU,3.2,25880,Pitching
MacKenzie Gore,WSN,3.2,22201,Pitching
Shota Imanaga,CHC,3.1,33829,Pitching
Aaron Nola,PHI,3.1,16149,Pitching
Brandon Pfaadt,ARI,3.1,27782,Pitching
Nestor Cortes,NYY,3.1,17874,Pitching
Kevin Gausman,TOR,3.0,14107,Pitching
Bailey Ober,MIN,3.0,21224,Pitching
Sean Manaea,NYM,2.8,15873,Pitching
Zach Eflin,- - -,2.8,13774,Pitching
Bryce Miller,SEA,2.7,29837,Pitching
Nathan Eovaldi,TEX,2.6,9132,Pitching
Brady Singer,KCR,2.5,25377,Pitching
Ryan Feltner,COL,2.5,21446,Pitching
Jameson Taillon,CHC,2.3,11674,Pitching
Luis Castillo,SEA,2.3,15689,Pitching
Freddy Peralta,MIL,2.3,18679,Pitching
Chris Bassitt,TOR,2.3,12304,Pitching
Ronel Blanco,HOU,2.2,19407,Pitching
Mitch Keller,PIT,2.2,17594,Pitching
Luis Severino,NYM,2.1,15890,Pitching
Brayan Bello,BOS,2.0,23920,Pitching
Miles Mikolas,STL,1.9,9803,Pitching
Jake Irvin,WSN,1.8,21504,Pitching
Kutter Crawford,BOS,1.8,20531,Pitching
Patrick Corbin,WSN,1.7,9323,Pitching
Carlos Rodon,NYY,1.6,16137,Pitching
Tyler Anderson,LAA,1.5,12880,Pitching
Kyle Gibson,STL,1.4,10123,Pitching
Austin Gomber,COL,1.3,16561,Pitching
JP Sears,OAK,1.2,23429,Pitching
Jose Berrios,TOR,1.1,14168,Pitching
Jose Quintana,NYM,1.1,11423,Pitching
Charlie Morton,ATL,1.1,4676,Pitching
Colin Rea,MIL,0.8,12317,Pitching
Griffin Canning,LAA,0.1,19867,Pitching
